"13926: Lønnstakere og jobber, etter sektor, næring (SN2007), statistikkvariabel, kvartal og region"

"sektor";"næring (SN2007)";"Antall jobber (arbeidsforhold) 2024K4 0 Hele landet"
"Sum alle sektorer";"01.110 Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster";953
"Sum alle sektorer";"01.120 Dyrking av ris";0
"Sum alle sektorer";"01.130 Dyrking av grønnsaker, meloner, rot- og knollvekster";2735
"Sum alle sektorer";"01.140 Dyrking av sukkerrør";0
"Sum alle sektorer";"01.150 Dyrking av tobakk";3
"Sum alle sektorer";"01.160 Dyrking av fibervekster";11
"Sum alle sektorer";"01.190 Dyrking av ettårige vekster ellers";1489
"Sum alle sektorer";"01.210 Dyrking av druer";3
"Sum alle sektorer";"01.220 Dyrking av tropiske og subtropiske frukter";0
"Sum alle sektorer";"01.230 Dyrking av sitrusfrukter";0
"Sum alle sektorer";"01.240 Dyrking av kjernefrukter og steinfrukter";245
"Sum alle sektorer";"01.250 Dyrking av annen frukt som vokser på trær eller busker samt nøtter";198
"Sum alle sektorer";"01.260 Dyrking av oljeholdige frukter";0
"Sum alle sektorer";"01.270 Dyrking av vekster for produksjon av drikkevarer";0
"Sum alle sektorer";"01.280 Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster";34
"Sum alle sektorer";"01.290 Dyrking av flerårige vekster ellers";54
"Sum alle sektorer";"01.300 Planteformering";306
"Sum alle sektorer";"01.410 Melkeproduksjon på storfe";2121
"Sum alle sektorer";"01.420 Oppdrett av annet storfe";677
"Sum alle sektorer";"01.430 Oppdrett av hester og andre dyr av hestefamilien";136
"Sum alle sektorer";"01.440 Oppdrett av kameler og andre kameldyr";3
"Sum alle sektorer";"01.451 Sauehold";927
"Sum alle sektorer";"01.452 Geitehold";90
"Sum alle sektorer";"01.460 Svinehold";608
"Sum alle sektorer";"01.471 Hold av verpehøner for konsumeggproduksjon";265
"Sum alle sektorer";"01.479 Annet fjørfehold";334
"Sum alle sektorer";"01.490 Husdyrhold ellers";178
"Sum alle sektorer";"01.500 Kombinert husdyrhold og planteproduksjon";579
"Sum alle sektorer";"01.610 Tjenester tilknyttet planteproduksjon";1121
